"","FIPS","YEAR","RNETMIG"
"811","19111","2011",-6.720994707
"812","19113","2011",7.0061421139
"813","19115","2011",-2.196547028
"814","19117","2011",-3.599955001
"815","19119","2011",3.9554581022
"816","19121","2011",-0.254137679
"817","19123","2011",0.4453450311
"818","19125","2011",-0.721858786
"819","19127","2011",5.1385575335
"820","19129","2011",-3.919614682
"821","19131","2011",-6.51102223
"822","19133","2011",6.1668289516
"823","19135","2011",10.213614
"824","19137","2011",-1.782196792
"825","19139","2011",-3.1291961
"826","19141","2011",-9.501851464
"827","19143","2011",-18.31702544
"828","19145","2011",0.7542663189
"829","19147","2011",-0.853242321
"830","19149","2011",-8.675918302
"831","19151","2011",-6.899882702
"832","19153","2011",6.9085937258
"833","19155","2011",-2.954067462
"834","19157","2011",0.4759260728
"835","19159","2011",-5.313914584
"836","19161","2011",-7.776049767
"837","19163","2011",3.6516913176
"838","19165","2011",-11.91757014
"839","19167","2011",-0.354139
"840","19169","2011",10.863432712
"841","19171","2011",-5.547222144
"842","19173","2011",-0.31680659
"843","19175","2011",2.7922932706
"844","19177","2011",-7.819748178
"845","19179","2011",-6.828911871
"846","19181","2011",3.8285745013
"847","19183","2011",5.6998391174
"848","19185","2011",-12.69990593
"849","19187","2011",-3.464508622
"850","19189","2011",-11.4195525
"851","19191","2011",-0.379803926
"852","19193","2011",-2.574253564
"853","19195","2011",-1.320655045
"854","19197","2011",-9.535069987
"855","20001","2011",1.2727885299
"856","20003","2011",-5.444533812
"857","20005","2011",-7.795762914
"858","20007","2011",9.820971867
"859","20009","2011",-1.26417684
"860","20011","2011",-14.89411217
"861","20013","2011",-1.003009027
"862","20015","2011",-3.658749497
"863","20017","2011",3.2414910859
"864","20019","2011",-4.683840749
"865","20021","2011",-6.435816719
"866","20023","2011",-4.068799704
"867","20025","2011",-31.02570039
"868","20027","2011",-0.585582948
"869","20029","2011",-10.13727561
"870","20031","2011",-9.840674789
